,0
Company,Комерцијална банка Скопје
MAE,[2487.6856689453125]
MSE,[6506769.672263344]
RMS,[2550.8370532559197]
MAPE,[20.21413191749335]
R2,[0.3370726998013609]
statistics,"['slope: 0.5180079679926938', 'intercept: 7210.294688610003', 'r_value(correlation): 0.5805796239977431', 'r^2_value(determination): 0.33707269980136073', 'p_value: 0.002934362298753076', 'std_err: 0.15488032882599337', 'a_r2: 0.337', 'b_r2: 0.337', 'a_t: 3.345', 'b_t: 4.741', 'a_p_value: 0.003', 'b_p_value: 0.000', 'a_std_err: 0.155', 'b_std_err: 1520.839']"
analysis_df,"       names         coef           se  ...   adj_r2     CI[2.5%]     CI[97.5%]
0  Intercept  7210.294689  1520.839058  ...  0.30694  4056.267525  10364.321852
1         x1     0.518008     0.154880  ...  0.30694     0.196806      0.839210

[2 rows x 9 columns]"
n_future,[1]
n_past,[3]
n_months_future,[6]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,14.241524696350098
accuracy_model,0.0
original_open,"[ 6799  7010  7300  7800  7504  7999  8450  8649  8800  9710 10699 10200
 10800 10660 11700 12506 11999 12660 12800 12500]"
error_df['date'].values,"['2022-01-01T00:00:00.000000000' '2022-02-01T00:00:00.000000000'
 '2022-03-01T00:00:00.000000000' '2022-04-01T00:00:00.000000000'
 '2022-05-01T00:00:00.000000000' '2022-06-01T00:00:00.000000000']"
error_df['open'].values,[11700 12506 11999 12660 12800 12500]
predicted_future['date'],"0   2022-01-01
1   2022-02-01
2   2022-03-01
3   2022-04-01
4   2022-05-01
5   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[10227.121 10213.852 10064.211  9605.709  9398.256  9103.478]
df.describe,"                max           min          open         close
count    198.000000    198.000000    198.000000    198.000000
mean    4629.191919   4159.621212   4374.262626   4410.722222
std     2708.111936   2427.828054   2555.358415   2599.963285
min     1700.000000   1602.000000   1700.000000   1700.000000
25%     2551.750000   2312.500000   2452.500000   2460.000000
50%     3392.500000   3055.000000   3225.000000   3210.000000
75%     6277.500000   5578.750000   5991.250000   5985.500000
max    13300.000000  11803.000000  12800.000000  12800.000000"
model_loss:,0.08658774942159653
accuracy:,0.280303031206131
val_loss:,0.155409574508667
model.summary,"Model: ""sequential_59""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_118 (LSTM)             (None, 3, 128)            68096     
                                                                 
 lstm_119 (LSTM)             (None, 32)                20608     
                                                                 
 dropout_60 (Dropout)        (None, 32)                0         
                                                                 
 dense_119 (Dense)           (None, 16)                528       
                                                                 
 dense_120 (Dense)           (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
